,Gender,EthnicGroup,ParentEduc,LunchType,Numberof Siblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
37,1,group C,some high school,free/reduced,3,school_bus,> 10,0,17,10
38,0,group A,associate's degree,free/reduced,5,private,5 - 10,62,61,55
39,1,group D,some high school,standard,0,school_bus,5 - 10,59,58,59
40,0,group B,some high school,standard,1,private,< 5,63,62,58
41,0,group D,some high school,free/reduced,4,school_bus,5 - 10,45,37,37
42,1,group C,some college,standard,3,school_bus,5 - 10,61,73,75
43,1,group C,associate's degree,standard,3,school_bus,5 - 10,39,64,57
44,0,group D,some college,standard,3,private,> 10,64,55,64
45,1,group A,associate's degree,free/reduced,1,private,5 - 10,42,51,49
46,0,group C,some high school,free/reduced,3,school_bus,5 - 10,59,56,54
47,0,group C,some high school,standard,2,private,< 5,47,48,40
48,0,group E,some high school,standard,5,school_bus,5 - 10,28,25,21
49,1,group D,some high school,standard,2,school_bus,> 10,62,75,73
50,1,group E,master's degree,standard,1,school_bus,5 - 10,60,68,68
51,1,group B,associate's degree,standard,0,private,> 10,49,50,52
52,0,group E,associate's degree,standard,0,private,5 - 10,74,64,64
53,0,group D,high school,free/reduced,3,private,5 - 10,40,38,33
54,1,group C,some college,standard,0,private,5 - 10,73,80,82
55,1,group D,associate's degree,standard,0,private,5 - 10,71,71,74
56,1,group A,some college,standard,3,school_bus,< 5,57,69,67
57,0,group C,associate's degree,free/reduced,3,private,> 10,45,46,52
58,1,group B,some college,standard,4,private,5 - 10,81,87,94
59,0,group B,some high school,standard,5,school_bus,5 - 10,63,65,61
60,1,group D,bachelor's degree,standard,3,school_bus,< 5,64,66,62
61,0,group B,some college,standard,7,school_bus,5 - 10,79,67,67
62,0,group D,bachelor's degree,standard,1,private,5 - 10,68,74,74
63,1,group D,associate's degree,standard,3,school_bus,5 - 10,87,92,91
64,0,group B,high school,standard,3,school_bus,5 - 10,61,44,48
65,1,group C,some college,standard,0,school_bus,5 - 10,58,67,72
66,1,group D,master's degree,standard,3,private,5 - 10,87,100,100
67,1,group B,associate's degree,free/reduced,2,school_bus,5 - 10,52,76,70
68,1,group B,some high school,standard,3,school_bus,5 - 10,72,64,73
69,1,group D,associate's degree,free/reduced,4,school_bus,> 10,79,90,99
70,0,group A,associate's degree,standard,0,school_bus,5 - 10,54,53,47
71,1,group D,some college,standard,1,school_bus,< 5,47,56,51
72,1,group E,bachelor's degree,standard,3,school_bus,< 5,98,99,100
73,0,group C,high school,standard,4,private,5 - 10,84,77,74
74,1,group B,bachelor's degree,free/reduced,1,school_bus,5 - 10,72,83,79
75,1,group D,bachelor's degree,standard,2,private,5 - 10,75,80,77
76,1,group D,some high school,standard,0,private,> 10,54,64,63
77,1,group C,some college,standard,3,school_bus,5 - 10,55,69,65
78,1,group C,bachelor's degree,standard,1,school_bus,5 - 10,76,90,86
79,0,group B,associate's degree,standard,3,school_bus,< 5,88,87,90
80,0,group E,some college,standard,3,school_bus,< 5,82,79,73
81,1,group B,high school,standard,2,school_bus,> 10,86,94,85
82,0,group D,some college,standard,3,school_bus,< 5,64,76,74
83,0,group D,master's degree,standard,2,private,< 5,77,81,72
84,1,group A,bachelor's degree,standard,0,school_bus,5 - 10,52,49,52
85,0,group D,master's degree,standard,1,school_bus,< 5,87,84,82
86,0,group C,some high school,free/reduced,1,private,< 5,52,36,40
87,0,group D,bachelor's degree,free/reduced,1,private,> 10,76,80,76
88,0,group B,some high school,standard,1,private,5 - 10,51,54,41
89,0,group E,high school,standard,0,school_bus,< 5,67,54,54
90,1,group C,associate's degree,standard,1,private,5 - 10,59,66,67
91,0,group D,some college,standard,0,private,> 10,73,61,70
92,1,group D,some high school,standard,1,school_bus,5 - 10,76,72,71
93,1,group C,some college,free/reduced,2,private,5 - 10,60,62,65
94,1,group E,some college,free/reduced,1,private,< 5,41,54,54
95,0,group A,high school,standard,1,school_bus,5 - 10,57,43,47
96,0,group D,some college,standard,3,private,> 10,90,74,79
97,1,group C,some college,free/reduced,1,school_bus,< 5,21,38,33
98,1,group D,bachelor's degree,standard,1,private,< 5,65,73,79
99,0,group E,associate's degree,free/reduced,3,private,5 - 10,100,100,95
100,0,group A,some high school,standard,2,private,5 - 10,62,67,69
101,1,group B,associate's degree,standard,2,school_bus,< 5,57,68,64
102,1,group C,some college,standard,3,school_bus,< 5,69,88,88
103,1,group E,high school,free/reduced,1,school_bus,5 - 10,67,75,79
104,1,group B,associate's degree,standard,2,private,5 - 10,62,87,89
105,0,group D,associate's degree,free/reduced,3,school_bus,> 10,70,63,66
106,0,group B,associate's degree,free/reduced,2,private,5 - 10,82,78,74
107,1,group E,some college,free/reduced,3,school_bus,5 - 10,75,88,85
108,0,group B,master's degree,free/reduced,2,school_bus,5 - 10,48,53,52
109,0,group C,high school,standard,1,school_bus,5 - 10,52,53,49
110,1,group E,master's degree,standard,3,private,< 5,76,89,86
111,1,group C,bachelor's degree,standard,0,school_bus,5 - 10,96,100,100
112,0,group C,high school,free/reduced,5,private,5 - 10,53,51,51
113,1,group B,master's degree,free/reduced,1,private,> 10,62,79,83
114,1,group B,high school,standard,2,private,5 - 10,70,84,79
115,0,group A,high school,standard,5,school_bus,> 10,76,75,77
116,0,group E,some high school,standard,3,school_bus,< 5,91,86,76
117,1,group D,some college,standard,3,school_bus,5 - 10,76,84,78
118,1,group C,associate's degree,standard,2,school_bus,5 - 10,63,67,70
119,1,group C,bachelor's degree,free/reduced,1,school_bus,< 5,41,50,52
120,1,group C,master's degree,standard,1,school_bus,5 - 10,81,92,89
121,1,group B,high school,free/reduced,2,school_bus,< 5,44,53,56
122,1,group B,master's degree,free/reduced,2,school_bus,5 - 10,54,72,65
123,1,group D,some high school,standard,0,school_bus,5 - 10,99,100,100
124,0,group C,master's degree,free/reduced,2,private,< 5,60,68,75
125,1,group C,some college,free/reduced,1,private,5 - 10,46,64,66
126,0,group C,associate's degree,free/reduced,5,private,< 5,61,65,62
127,0,group E,high school,standard,1,school_bus,< 5,75,73,62
128,0,group D,some high school,standard,4,private,5 - 10,62,66,68
129,0,group B,some high school,free/reduced,3,school_bus,< 5,47,51,45
130,1,group C,bachelor's degree,standard,1,school_bus,< 5,74,86,85
131,1,group E,associate's degree,standard,2,school_bus,5 - 10,66,65,69
132,0,group D,some college,standard,2,school_bus,< 5,73,81,77
133,1,group C,master's degree,standard,1,school_bus,< 5,69,85,87
134,0,group D,associate's degree,standard,4,school_bus,< 5,60,54,52
135,0,group E,high school,free/reduced,7,private,> 10,56,56,52
136,1,group B,bachelor's degree,free/reduced,3,private,5 - 10,80,80,77
137,1,group C,associate's degree,standard,1,private,< 5,66,83,86
138,1,group D,some college,free/reduced,3,school_bus,< 5,63,79,75
139,0,group C,associate's degree,standard,2,school_bus,5 - 10,69,77,69
140,0,group E,bachelor's degree,standard,4,school_bus,5 - 10,84,62,63
141,0,group E,high school,standard,2,school_bus,5 - 10,83,81,77
142,1,group B,some college,free/reduced,1,private,< 5,73,80,76
143,0,group D,some high school,free/reduced,3,school_bus,< 5,77,77,77
144,0,group C,some college,free/reduced,3,school_bus,5 - 10,35,28,27
145,1,group C,high school,free/reduced,2,school_bus,5 - 10,42,62,60
146,0,group C,associate's degree,free/reduced,1,school_bus,5 - 10,61,51,57
147,0,group E,high school,standard,1,private,5 - 10,87,91,81
148,0,group B,some high school,standard,2,private,5 - 10,86,84,76
149,1,group E,associate's degree,free/reduced,3,school_bus,< 5,80,84,86
150,0,group B,high school,free/reduced,2,school_bus,< 5,64,75,68
151,1,group D,high school,standard,4,school_bus,5 - 10,57,69,75
152,0,group B,associate's degree,standard,0,school_bus,> 10,89,86,74
153,0,group D,some high school,standard,3,school_bus,5 - 10,88,81,76
154,1,group B,associate's degree,standard,3,school_bus,> 10,55,67,76
155,1,group C,some college,standard,5,school_bus,5 - 10,72,72,71
156,0,group D,high school,standard,0,school_bus,5 - 10,58,50,55
157,1,group C,some college,standard,3,school_bus,> 10,93,97,98
158,0,group C,associate's degree,standard,1,private,5 - 10,47,43,43
159,1,group B,bachelor's degree,standard,2,school_bus,5 - 10,67,86,83
160,0,group E,some high school,standard,3,school_bus,> 10,94,88,79
161,0,group C,bachelor's degree,standard,3,school_bus,> 10,85,83,85
162,0,group D,associate's degree,standard,1,school_bus,> 10,84,77,80
163,0,group D,bachelor's degree,free/reduced,2,school_bus,< 5,62,65,67
164,1,group D,some high school,standard,4,school_bus,< 5,62,59,72
165,0,group B,some college,standard,2,private,> 10,57,53,53
166,0,group C,associate's degree,standard,1,private,5 - 10,84,80,80
167,0,group D,high school,free/reduced,1,private,> 10,75,69,67
168,1,group E,bachelor's degree,standard,4,private,5 - 10,82,84,85
169,0,group E,some college,standard,2,school_bus,< 5,58,50,43
170,0,group D,some high school,standard,1,school_bus,< 5,74,73,69
171,0,group C,associate's degree,standard,3,private,< 5,82,74,69
172,0,group E,associate's degree,standard,2,school_bus,5 - 10,91,77,75
173,1,group B,high school,standard,1,private,5 - 10,58,70,68
174,1,group B,high school,standard,2,private,< 5,63,63,60
175,0,group A,some high school,standard,2,school_bus,5 - 10,47,49,49
176,1,group D,some college,free/reduced,4,school_bus,< 5,70,82,83
177,1,group B,some high school,standard,3,private,5 - 10,60,70,70
178,0,group D,high school,standard,0,private,5 - 10,54,52,52
179,1,group E,some college,standard,1,school_bus,5 - 10,62,73,70
180,1,group C,associate's degree,free/reduced,5,private,< 5,62,71,66
181,1,group C,some high school,free/reduced,1,private,> 10,65,80,78
182,0,group C,some college,standard,2,school_bus,5 - 10,79,79,78
183,1,group C,some high school,free/reduced,2,private,5 - 10,45,50,52
184,1,group E,high school,standard,1,private,5 - 10,99,93,90
185,0,group D,high school,standard,2,private,5 - 10,76,73,68
186,0,group D,some high school,free/reduced,1,school_bus,< 5,57,41,40
187,1,group D,high school,standard,3,school_bus,5 - 10,71,73,78
188,1,group D,associate's degree,standard,5,school_bus,> 10,93,94,99
189,0,group C,bachelor's degree,standard,2,school_bus,5 - 10,69,63,61
190,1,group D,associate's degree,free/reduced,2,private,5 - 10,48,53,59
191,1,group D,some college,standard,2,private,5 - 10,65,70,71
192,0,group B,some college,standard,1,school_bus,< 5,85,83,74
193,0,group C,bachelor's degree,standard,3,school_bus,5 - 10,83,78,73
194,1,group C,some high school,standard,3,private,< 5,82,90,91
195,1,group C,some high school,free/reduced,1,school_bus,5 - 10,65,86,80
196,0,group B,bachelor's degree,free/reduced,2,school_bus,5 - 10,73,56,57
197,1,group D,bachelor's degree,free/reduced,3,school_bus,5 - 10,75,80,86
198,1,group D,some college,free/reduced,2,school_bus,5 - 10,67,76,76
199,0,group B,associate's degree,standard,3,school_bus,5 - 10,78,80,79
200,0,group E,associate's degree,standard,0,private,5 - 10,99,83,90
201,1,group B,some high school,standard,1,school_bus,< 5,64,87,80
202,0,group C,associate's degree,standard,2,school_bus,5 - 10,76,70,68
203,0,group D,some high school,standard,2,private,< 5,83,71,68
204,0,group C,some high school,standard,1,private,5 - 10,61,59,55
205,0,group D,high school,free/reduced,3,school_bus,5 - 10,80,78,82
206,0,group B,associate's degree,free/reduced,1,school_bus,> 10,66,61,59
207,0,group A,some college,free/reduced,2,private,< 5,76,75,77
208,0,group D,some high school,free/reduced,4,school_bus,< 5,55,53,52
209,1,group C,associate's degree,standard,5,school_bus,> 10,66,83,80
210,0,group B,associate's degree,standard,1,school_bus,5 - 10,82,77,65
211,1,group C,associate's degree,standard,2,school_bus,5 - 10,76,76,85
212,0,group A,some college,standard,7,private,5 - 10,69,67,69
213,0,group E,some college,standard,5,private,5 - 10,100,88,83
214,1,group B,associate's degree,free/reduced,3,private,> 10,56,73,70
215,1,group B,associate's degree,standard,2,school_bus,5 - 10,73,76,80
216,0,group B,bachelor's degree,standard,3,school_bus,< 5,62,58,54
217,1,group C,associate's degree,free/reduced,2,private,> 10,70,68,70
218,0,group C,high school,standard,3,private,5 - 10,73,66,66
219,1,group D,master's degree,standard,3,private,5 - 10,74,80,88
220,0,group C,associate's degree,standard,1,school_bus,5 - 10,83,72,78
221,1,group D,associate's degree,free/reduced,1,school_bus,< 5,55,64,63
222,1,group E,high school,standard,3,private,> 10,74,85,78
223,1,group C,some college,standard,2,private,< 5,70,80,80
224,1,group C,some high school,free/reduced,5,private,5 - 10,40,52,51
225,1,group C,some college,standard,3,school_bus,5 - 10,82,90,94
226,0,group C,some college,standard,1,school_bus,5 - 10,61,61,62
227,0,group A,some college,free/reduced,2,school_bus,> 10,29,23,19
228,0,group C,associate's degree,standard,5,school_bus,5 - 10,82,75,77
229,1,group B,some high school,standard,2,school_bus,< 5,39,54,49
230,0,group C,associate's degree,standard,3,private,< 5,45,36,34
231,0,group E,associate's degree,standard,3,school_bus,> 10,61,55,52
232,0,group B,associate's degree,standard,1,school_bus,5 - 10,90,78,81
233,1,group B,some high school,free/reduced,3,school_bus,< 5,23,37,26
234,1,group D,some high school,free/reduced,3,school_bus,5 - 10,35,55,60
235,0,group C,high school,free/reduced,1,school_bus,> 10,61,62,54
236,0,group D,associate's degree,standard,3,private,< 5,64,70,65
237,0,group D,some college,standard,2,school_bus,< 5,78,72,67
238,1,group C,high school,standard,4,private,5 - 10,72,80,75
239,0,group E,associate's degree,standard,2,private,> 10,92,76,79
240,1,group B,bachelor's degree,standard,0,private,5 - 10,52,65,69
241,0,group E,some college,standard,4,school_bus,> 10,67,57,53
242,1,group C,some college,standard,1,school_bus,< 5,61,76,78
243,1,group C,associate's degree,standard,1,private,< 5,45,57,57
244,1,group B,bachelor's degree,standard,3,school_bus,> 10,64,74,73
245,1,group C,some college,free/reduced,1,private,< 5,40,65,67
246,1,group D,some college,standard,1,private,< 5,77,88,87
247,1,group B,high school,standard,1,school_bus,5 - 10,56,61,57
248,0,group B,some high school,standard,3,private,5 - 10,87,85,79
249,1,group C,some college,standard,2,private,5 - 10,53,58,59
250,1,group D,some high school,free/reduced,3,school_bus,< 5,26,33,31
251,0,group C,some college,standard,1,school_bus,5 - 10,60,60,59
252,0,group A,bachelor's degree,free/reduced,2,private,> 10,51,59,62
253,0,group C,bachelor's degree,free/reduced,3,private,> 10,64,67,63
254,1,group A,some high school,free/reduced,2,private,5 - 10,44,64,58
255,1,group D,some high school,standard,5,school_bus,5 - 10,71,83,84
256,0,group E,some college,standard,3,private,5 - 10,86,78,72
257,1,group C,some college,free/reduced,4,school_bus,5 - 10,45,73,70
258,0,group D,some high school,standard,0,private,> 10,76,75,73
259,1,group D,some college,standard,1,private,> 10,84,98,97
260,1,group D,some high school,standard,2,school_bus,> 10,82,91,83
261,1,group A,some high school,standard,1,private,> 10,73,84,78
262,0,group A,bachelor's degree,standard,1,private,5 - 10,67,64,63
263,1,group B,associate's degree,standard,1,school_bus,5 - 10,80,86,83
264,0,group C,associate's degree,standard,0,private,< 5,84,98,93
265,1,group E,some high school,free/reduced,3,private,> 10,40,50,47
266,1,group A,some high school,free/reduced,5,private,5 - 10,35,41,40
267,1,group E,some college,standard,2,private,5 - 10,69,77,76
268,1,group E,bachelor's degree,standard,0,school_bus,< 5,62,71,68
269,1,group D,high school,standard,3,private,5 - 10,62,64,64
270,0,group D,master's degree,standard,1,school_bus,< 5,71,70,75
271,0,group E,some high school,free/reduced,0,private,5 - 10,75,68,60
272,1,group D,some college,standard,3,private,< 5,74,66,75
273,0,group E,some college,standard,3,school_bus,> 10,78,68,68
274,0,group C,associate's degree,standard,4,private,> 10,60,55,58
275,1,group B,high school,free/reduced,5,school_bus,5 - 10,48,65,61
276,0,group B,some high school,standard,0,school_bus,< 5,73,62,57
277,0,group D,some high school,standard,4,private,< 5,56,57,51
278,1,group C,some high school,standard,3,private,5 - 10,60,54,68
279,1,group A,some college,free/reduced,2,school_bus,> 10,51,66,57
280,1,group D,high school,standard,4,private,5 - 10,88,99,100
281,1,group C,high school,standard,0,school_bus,5 - 10,55,59,63
282,0,group B,associate's degree,standard,3,school_bus,> 10,68,66,65
283,1,group B,associate's degree,standard,3,school_bus,5 - 10,84,81,78
284,1,group D,high school,free/reduced,2,school_bus,5 - 10,52,57,56
285,0,group D,associate's degree,standard,5,school_bus,> 10,86,83,84
286,1,group D,master's degree,standard,2,private,5 - 10,72,73,78
287,0,group E,high school,standard,3,private,5 - 10,86,74,70
288,0,group C,bachelor's degree,standard,3,private,< 5,68,72,66
289,0,group D,some college,standard,4,private,5 - 10,70,59,63
290,0,group E,high school,free/reduced,3,private,5 - 10,57,56,54
291,1,group D,master's degree,free/reduced,0,private,> 10,47,59,68
292,0,group C,bachelor's degree,standard,2,school_bus,5 - 10,88,84,88
293,0,group C,some high school,free/reduced,0,private,5 - 10,71,72,66
294,0,group C,some high school,free/reduced,3,school_bus,> 10,70,63,55
295,0,group C,high school,standard,4,school_bus,< 5,57,54,52
296,0,group D,associate's degree,standard,3,school_bus,5 - 10,77,69,65
297,0,group C,high school,standard,0,school_bus,< 5,69,55,51
298,0,group D,some high school,standard,0,school_bus,5 - 10,89,88,82
299,1,group A,some high school,free/reduced,2,school_bus,5 - 10,59,73,69
300,0,group A,some high school,free/reduced,0,school_bus,5 - 10,79,82,73
301,0,group D,some college,free/reduced,1,school_bus,> 10,73,67,62
302,0,group C,high school,standard,2,school_bus,> 10,91,83,83
303,0,group B,high school,standard,4,school_bus,5 - 10,48,46,43
304,1,group C,some college,free/reduced,3,private,5 - 10,64,85,85
305,1,group E,some college,standard,5,school_bus,5 - 10,100,92,97
306,1,group C,associate's degree,free/reduced,1,school_bus,> 10,68,79,77
307,0,group C,some college,free/reduced,3,private,> 10,64,57,48
308,1,group C,associate's degree,free/reduced,3,private,5 - 10,54,61,63
309,0,group C,bachelor's degree,free/reduced,0,school_bus,5 - 10,37,56,47
310,1,group D,bachelor's degree,standard,3,school_bus,5 - 10,79,89,89
311,0,group C,bachelor's degree,free/reduced,1,private,< 5,52,57,55
312,0,group B,some college,free/reduced,1,school_bus,5 - 10,54,54,45
313,1,group E,some college,standard,1,private,5 - 10,68,68,74
314,1,group C,some college,free/reduced,4,school_bus,5 - 10,77,90,91
315,1,group D,associate's degree,free/reduced,1,school_bus,> 10,26,31,38
316,0,group A,high school,free/reduced,7,school_bus,> 10,76,69,67
317,1,group A,high school,free/reduced,3,private,5 - 10,79,89,87
318,1,group C,associate's degree,standard,1,private,5 - 10,83,85,90
319,1,group C,high school,standard,0,private,< 5,62,68,74
320,1,group C,associate's degree,standard,4,school_bus,5 - 10,68,86,84
321,1,group D,some high school,standard,5,private,> 10,57,66,60
322,1,group B,associate's degree,standard,2,private,5 - 10,90,90,91
323,0,group E,bachelor's degree,standard,2,school_bus,5 - 10,76,62,66
324,1,group D,master's degree,standard,1,private,5 - 10,53,64,70
325,0,group E,associate's degree,standard,4,school_bus,> 10,78,72,68
326,0,group B,high school,standard,1,private,5 - 10,73,71,68
327,1,group D,associate's degree,free/reduced,3,school_bus,5 - 10,52,59,56
328,0,group A,high school,standard,2,private,5 - 10,59,52,46
329,1,group B,associate's degree,standard,3,school_bus,< 5,48,51,54
330,0,group D,some college,free/reduced,3,private,5 - 10,61,47,56
331,1,group C,associate's degree,free/reduced,4,school_bus,5 - 10,60,75,74
332,0,group B,some high school,standard,1,school_bus,5 - 10,65,53,58
333,0,group A,associate's degree,free/reduced,5,school_bus,5 - 10,76,80,79
334,1,group A,associate's degree,free/reduced,1,school_bus,< 5,64,84,76
335,1,group C,some college,standard,1,school_bus,5 - 10,83,83,90
336,1,group C,bachelor's degree,standard,6,school_bus,< 5,78,86,88
337,1,group B,high school,standard,2,school_bus,< 5,53,63,68
338,0,group D,high school,standard,4,private,5 - 10,68,64,66
339,1,group C,some college,standard,3,school_bus,< 5,53,47,52
340,1,group D,some college,free/reduced,1,school_bus,5 - 10,59,78,76
341,0,group E,some college,standard,3,school_bus,< 5,73,69,70
342,1,group D,master's degree,standard,2,school_bus,5 - 10,74,80,84
343,1,group B,associate's degree,standard,0,private,< 5,91,85,90
344,1,group E,associate's degree,standard,3,school_bus,> 10,100,91,96
345,1,group D,master's degree,free/reduced,1,private,5 - 10,41,61,57
346,1,group B,some high school,standard,3,school_bus,< 5,79,80,78
347,0,group A,high school,standard,1,school_bus,5 - 10,70,71,67
348,1,group C,bachelor's degree,standard,1,private,5 - 10,88,93,89
349,0,group D,some high school,free/reduced,2,school_bus,< 5,61,48,52
350,1,group B,some high school,standard,3,private,5 - 10,55,61,63
351,1,group B,master's degree,free/reduced,3,school_bus,5 - 10,77,97,94
352,1,group C,some high school,standard,1,private,5 - 10,76,87,85
353,1,group E,some college,standard,1,school_bus,5 - 10,64,72,71
354,1,group D,some high school,standard,1,school_bus,5 - 10,67,79,79
355,1,group B,high school,free/reduced,5,school_bus,5 - 10,67,78,79
356,1,group C,associate's degree,standard,4,private,5 - 10,91,86,84
357,0,group C,some high school,free/reduced,4,school_bus,< 5,54,60,58
358,1,group D,bachelor's degree,free/reduced,2,private,< 5,28,40,46
359,1,group C,associate's degree,standard,1,private,5 - 10,60,72,68
360,1,group C,associate's degree,standard,1,private,5 - 10,68,67,73
361,1,group C,some high school,standard,2,private,5 - 10,45,53,51
362,0,group E,associate's degree,standard,2,school_bus,< 5,60,60,56
363,1,group E,associate's degree,standard,4,school_bus,5 - 10,79,88,94
364,0,group B,high school,standard,1,school_bus,> 10,75,70,69
365,1,group C,bachelor's degree,free/reduced,5,private,5 - 10,66,83,83
366,1,group D,high school,standard,1,school_bus,5 - 10,49,65,60
367,0,group A,associate's degree,standard,3,school_bus,> 10,99,93,87
368,0,group C,high school,standard,1,private,5 - 10,75,69,68
369,1,group D,associate's degree,standard,2,private,> 10,86,97,93
370,0,group E,some high school,free/reduced,1,school_bus,5 - 10,80,84,82
371,1,group A,some high school,standard,3,school_bus,5 - 10,92,100,97
372,0,group C,high school,standard,2,private,< 5,71,66,64
373,1,group C,high school,free/reduced,5,school_bus,< 5,61,66,64
374,0,group C,master's degree,standard,1,school_bus,< 5,77,72,69
375,0,group B,bachelor's degree,free/reduced,2,private,5 - 10,89,91,90
376,0,group D,some college,free/reduced,2,private,5 - 10,79,62,65
377,0,group E,associate's degree,standard,1,private,> 10,56,46,41
378,0,group C,master's degree,free/reduced,1,school_bus,5 - 10,63,69,69
379,1,group B,associate's degree,free/reduced,2,school_bus,< 5,51,68,68
380,0,group D,some high school,standard,2,school_bus,> 10,75,66,63
381,1,group C,some college,standard,3,school_bus,> 10,66,76,77
382,0,group C,bachelor's degree,standard,2,school_bus,< 5,95,89,92
383,0,group B,bachelor's degree,free/reduced,1,school_bus,< 5,46,50,45
384,0,group B,associate's degree,standard,2,school_bus,< 5,46,42,44
385,1,group E,bachelor's degree,free/reduced,4,private,5 - 10,89,98,97
386,0,group B,high school,free/reduced,6,private,< 5,62,47,47
387,0,group A,bachelor's degree,standard,1,school_bus,5 - 10,88,94,89
388,1,group C,some college,standard,5,private,> 10,54,62,57
389,1,group C,high school,free/reduced,1,school_bus,5 - 10,50,66,64
390,0,group A,associate's degree,free/reduced,7,school_bus,5 - 10,40,55,53
391,0,group A,some college,standard,0,school_bus,5 - 10,61,51,52
392,1,group B,high school,standard,1,school_bus,< 5,78,89,87
393,1,group B,some college,free/reduced,1,school_bus,> 10,49,56,59
394,1,group D,master's degree,standard,3,school_bus,< 5,52,60,68
395,1,group D,some high school,standard,2,school_bus,< 5,78,95,94
396,1,group E,some high school,standard,3,school_bus,5 - 10,74,77,78
397,1,group D,bachelor's degree,free/reduced,1,school_bus,5 - 10,63,73,78
398,1,group A,high school,standard,3,school_bus,5 - 10,55,73,73
399,1,group C,bachelor's degree,free/reduced,1,school_bus,< 5,43,62,62
400,1,group C,some college,standard,1,school_bus,< 5,53,63,65
401,0,group C,some college,free/reduced,3,private,< 5,56,56,52
402,1,group C,bachelor's degree,standard,2,private,5 - 10,94,100,100
403,1,group C,bachelor's degree,standard,1,school_bus,> 10,57,80,73
404,0,group B,high school,free/reduced,2,school_bus,5 - 10,30,24,15
405,1,group D,high school,standard,4,school_bus,> 10,71,78,74
406,1,group D,some high school,standard,1,school_bus,5 - 10,65,82,81
407,1,group C,high school,standard,1,school_bus,5 - 10,29,29,30
408,1,group E,some college,standard,2,school_bus,5 - 10,76,78,80
409,0,group D,high school,free/reduced,1,school_bus,5 - 10,60,57,51
410,0,group C,some high school,standard,3,private,< 5,72,70,60
411,1,group C,master's degree,free/reduced,1,private,5 - 10,40,59,55
412,1,group B,associate's degree,standard,1,school_bus,< 5,57,62,65
413,0,group D,some college,free/reduced,5,school_bus,5 - 10,69,60,63
414,1,group C,some college,standard,3,school_bus,< 5,56,58,64
415,0,group C,bachelor's degree,standard,0,private,< 5,91,88,89
416,1,group A,associate's degree,standard,4,school_bus,5 - 10,82,93,93
417,1,group C,high school,standard,1,school_bus,5 - 10,60,68,72
418,1,group E,bachelor's degree,standard,4,school_bus,5 - 10,37,45,38
419,0,group D,master's degree,standard,1,school_bus,5 - 10,95,82,86
420,1,group C,high school,free/reduced,2,school_bus,> 10,36,61,55
421,0,group C,high school,free/reduced,2,private,> 10,59,51,53
422,0,group A,some college,standard,4,private,5 - 10,97,94,83
423,0,group B,associate's degree,free/reduced,1,school_bus,5 - 10,66,68,61
424,0,group D,some college,free/reduced,2,school_bus,5 - 10,50,57,47
